log(T) ne nt 0
4.00 0.0022 1.064 1.18769
4.05 0.0141 1.064 1.17215
4.10 0.0701 1.064 1.11417
4.15 0.2528 1.064 0.959952
4.20 0.5669 1.064 0.775254
4.25 0.8163 1.064 0.672445
4.30 0.9310 1.064 0.633592
4.35 0.9755 1.064 0.619845
4.40 0.9980 1.064 0.61327
4.45 1.020 1.064 0.606695
4.50 1.042 1.064 0.60012
4.55 1.055 1.064 0.596533
4.60 1.060 1.064 0.595338
4.65 1.062 1.064 0.59474
4.70 1.064 1.064 0.594142
4.75 1.065 1.064 0.593545
4.80 1.070 1.064 0.592349
4.85 1.082 1.064 0.58936
4.90 1.099 1.064 0.584579
4.95 1.113 1.064 0.580992
5.00 1.121 1.064 0.578601
5.05 1.125 1.064 0.577406
5.10 1.126 1.064 0.577406
5.15 1.127 1.064 0.576808
5.20 1.128 1.064 0.576808
5.25 1.128 1.064 0.576808
5.30 1.128 1.064 0.576808
5.35 1.128 1.064 0.576808
5.40 1.128 1.064 0.576808
5.45 1.128 1.064 0.576808
5.50 1.128 1.064 0.576808
5.55 1.128 1.064 0.576808
5.60 1.128 1.064 0.576808
5.65 1.128 1.064 0.576808
5.70 1.128 1.064 0.576808
5.75 1.128 1.064 0.576808
5.80 1.128 1.064 0.576808
5.85 1.128 1.064 0.576808
5.90 1.128 1.064 0.576808
5.95 1.128 1.064 0.576808
6.00 1.128 1.064 0.576808
6.05 1.128 1.064 0.576808
6.10 1.128 1.064 0.576808
6.15 1.128 1.064 0.576808
6.20 1.128 1.064 0.576808
6.25 1.128 1.064 0.576808
6.30 1.128 1.064 0.576808
6.35 1.128 1.064 0.576808
6.40 1.128 1.064 0.576808
6.45 1.128 1.064 0.576808
6.50 1.128 1.064 0.576808
6.55 1.128 1.064 0.576808
6.60 1.128 1.064 0.576808
6.65 1.128 1.064 0.576808
6.70 1.128 1.064 0.576808
6.75 1.128 1.064 0.576808
6.80 1.128 1.064 0.576808
6.85 1.128 1.064 0.576808
6.90 1.128 1.064 0.576808
6.95 1.128 1.064 0.576808
7.00 1.128 1.064 0.576808
7.05 1.128 1.064 0.576808
7.10 1.128 1.064 0.576808
7.15 1.128 1.064 0.576808
7.20 1.128 1.064 0.576808
7.25 1.128 1.064 0.576808
7.30 1.128 1.064 0.576808
7.35 1.128 1.064 0.576808
7.40 1.128 1.064 0.576808
7.45 1.128 1.064 0.576808
7.50 1.128 1.064 0.576808
7.55 1.128 1.064 0.576808
7.60 1.128 1.064 0.576808
7.65 1.128 1.064 0.576808
7.70 1.128 1.064 0.576808
7.75 1.128 1.064 0.576808
7.80 1.128 1.064 0.576808
7.85 1.128 1.064 0.576808
7.90 1.128 1.064 0.576808
7.95 1.128 1.064 0.576808
8.00 1.128 1.064 0.576808
8.05 1.128 1.064 0.576808
8.10 1.128 1.064 0.576808
8.15 1.128 1.064 0.576808
8.20 1.128 1.064 0.576808
8.25 1.128 1.064 0.576808
8.30 1.128 1.064 0.576808
8.35 1.128 1.064 0.576808
8.40 1.128 1.064 0.576808
8.45 1.128 1.064 0.576808
8.50 1.128 1.064 0.576808
